2019
2019-03-01
2019-03-20
Pirmas;Pirmass;1995-03-15;200;Puolėjas;Žalgiris;Taip;Taip
Antras;Antrass;1996-05-06;180;Gynėjas;Neptūnas;Taip;Ne
Trečias;Trečiass;1992-01-25;199;Puolėjas;Žalgiris;Taip;Ne
Ketvirtas;Ketvirtass;1997-06-08;179;Puolėjas;Žalgiris;Taip;Ne
Penktas;Penktass;1999-09-10;160;Gynėjas;Žalgiris;Taip;Ne
Šeštas;Šeštass;1995-03-15;178;Puolėjas;Kabelis;Taip;Ne
Septintas;Septintass;1995-03-15;190;Puolėjas;Neptūnas;Taip;Taip
Aštuntas;Aštuntass;1995-03-15;206;Gynėjas;Žalgiris;Taip;Ne
Dešimtas;Dešimtass;1995-03-15;186;Puolėjas;Kabelis;Taip;Ne
Vienuoliktas;Vienuoliktass;1995-03-15;196;Centras;Neptūnas;Taip;Ne
12;12s;1995-03-15;199;Centras;Žalgiris;Taip;Ne
