| Elody      |    15 |      99.53 |    2220.01 |
| Josefa     |    14 |      89.11 |    2109.84 |
| Kirk       |    13 |      93.62 |    1825.33 |
| Nasir      |    12 |      92.36 |    1584.07 |
| Dwight     |    13 |      54.70 |    1323.56 |
| Aniyah     |    11 |      67.66 |    1300.28 |
| Jovanny    |     8 |      96.41 |    1248.61 |
| Ransom     |    12 |      59.77 |    1129.04 |
| Kyla       |     9 |      62.03 |    1055.46 |
| Allen      |    10 |      50.86 |    1029.98 |
| Keyshawn   |     9 |      56.55 |     907.25 |
| Bruce      |     9 |      63.66 |     857.50 |
| Harry      |     7 |      73.72 |     850.38 |
| Erick      |     7 |      64.40 |     836.30 |
| Mariana    |     7 |      50.39 |     729.35 |
| Katarina   |     7 |      63.92 |     706.41 |
| Neal       |     7 |      62.04 |     680.67 |
| Thad       |     4 |      93.13 |     620.85 |
| Sigmund    |     5 |      93.36 |     602.79 |
